Scheduling code,Purpose,Subject,Level,Topic,Tutor,Centre,Classroom,Capacity,Date (text),Start Time,Date,Timeslot (+3hr),Video Guides,Address,Subject1,Subject2,Subject(Display),Level1,CC Type,Form Question,ConfirmationMsg Template,Form Entry,,,Duplicate class,Remarks,No. Regular S,No. Signups,,Total Signups,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Actual Confirmed,Attendance,Conversion,Form Controls,Form Option to Display,max?
Sep CC - JC<>JC - Phy<>J1<>Gravitational Field<>Enzhao<>Jurong East<>JE-2<>25<>12 Sep (Fri)<>1:30 pm,Sep CC - JC,JC - Phy,J1,Gravitational Field,Enzhao,Jurong East,JE-2,25,12 Sep (Fri),1:30:00 PM,9/12/2025,01:30PM - 04:30PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Jurong East - 12 Sep (Fri) 1:30PM,[J1 Physics] Gravitational Field - 12 Sep (Fri) | 01:30PM - 04:30PM | Jurong East,,,0,,,9,,9,0,9 | 0 | 25,0.00%,0,0,,Default,[J1 Physics] Gravitational Field - 12 Sep (Fri) | 01:30PM - 04:30PM | Jurong East,FALSE
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>Ding Jiang<>Bukit Panjang<>BP-1 (JC)<>24<>10 Sep (Wed)<>10:00 am,Sep CC - JC,JC - Chem,J1,Reaction Kinetics,Ding Jiang,Bukit Panjang,BP-1 (JC),24,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 01:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Bukit Panjang - 10 Sep (Wed) 10:00AM,[J1 Chemistry] Reaction Kinetics - 10 Sep (Wed) | 10:00AM - 01:00PM | Bukit Panjang,,,0,,,5,,5,0,5 | 0 | 24,0.00%,0,0,,Default,[J1 Chemistry] Reaction Kinetics - 10 Sep (Wed) | 10:00AM - 01:00PM | Bukit Panjang,FALSE
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>Kelly<>Kovan<>KO-1<>23<>11 Sep (Thu)<>10:00 am,Sep CC - JC,JC - Chem,J1,Reaction Kinetics,Kelly,Kovan,KO-1,23,11 Sep (Thu),10:00:00 AM,9/11/2025,10:00AM - 01:00PM,https://tinyurl.com/SOKGuide,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Kovan - 11 Sep (Thu) 10:00AM,[J1 Chemistry] Reaction Kinetics - 11 Sep (Thu) | 10:00AM - 01:00PM | Kovan,,,0,,,13,,13,0,13 | 0 | 23,0.00%,0,0,,Default,[J1 Chemistry] Reaction Kinetics - 11 Sep (Thu) | 10:00AM - 01:00PM | Kovan,FALSE
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>Kelly<>Kovan<>KO-1<>23<>12 Sep (Fri)<>10:00 am,Sep CC - JC,JC - Chem,J1,Reaction Kinetics,Kelly,Kovan,KO-1,23,12 Sep (Fri),10:00:00 AM,9/12/2025,10:00AM - 01:00PM,https://tinyurl.com/SOKGuide,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Kovan - 12 Sep (Fri) 10:00AM,[J1 Chemistry] Reaction Kinetics - 12 Sep (Fri) | 10:00AM - 01:00PM | Kovan,,,0,,,3,,3,0,3 | 0 | 23,0.00%,0,0,,Default,[J1 Chemistry] Reaction Kinetics - 12 Sep (Fri) | 10:00AM - 01:00PM | Kovan,FALSE
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>Ryan Liu<>Paya Lebar<>KINEX-2<>30<>08 Sep (Mon)<>1:30 pm,Sep CC - JC,JC - Chem,J1,Reaction Kinetics,Ryan Liu,Paya Lebar,KINEX-2,30,08 Sep (Mon),1:30:00 PM,9/8/2025,01:30PM - 04:30PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Paya Lebar - 08 Sep (Mon) 1:30PM,[J1 Chemistry] Reaction Kinetics - 08 Sep (Mon) | 01:30PM - 04:30PM | Paya Lebar,,,0,,,12,,12,0,12 | 0 | 30,0.00%,0,0,,Default,[J1 Chemistry] Reaction Kinetics - 08 Sep (Mon) | 01:30PM - 04:30PM | Paya Lebar,FALSE
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>Ryan Kong<>Potong Pasir<>PP-4 (L2)<>36<>12 Sep (Fri)<>10:00 am,Sep CC - JC,JC - Chem,J1,Reaction Kinetics,Ryan Kong,Potong Pasir,PP-4 (L2),36,12 Sep (Fri),10:00:00 AM,9/12/2025,10:00AM - 01:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Potong Pasir - 12 Sep (Fri) 10:00AM,[J1 Chemistry] Reaction Kinetics - 12 Sep (Fri) | 10:00AM - 01:00PM | Potong Pasir,,,0,,,12,,12,0,12 | 0 | 36,0.00%,0,0,,Default,[J1 Chemistry] Reaction Kinetics - 12 Sep (Fri) | 10:00AM - 01:00PM | Potong Pasir,FALSE
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>Xavier Tan<>Tan Kah Kee<>TKK-2<>30<>08 Sep (Mon)<>3:00 pm,Sep CC - JC,JC - Chem,J1,Reaction Kinetics,Xavier Tan,Tan Kah Kee,TKK-2,30,08 Sep (Mon),3:00:00 PM,9/8/2025,03:00PM - 06:00PM,bit.ly/TKK607,607 Bukit Timah Road #02-01 S269708,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Tan Kah Kee - 08 Sep (Mon) 3:00PM,[J1 Chemistry] Reaction Kinetics - 08 Sep (Mon) | 03:00PM - 06:00PM | Tan Kah Kee,,,0,,,15,,15,0,15 | 0 | 30,0.00%,0,0,,Default,[J1 Chemistry] Reaction Kinetics - 08 Sep (Mon) | 03:00PM - 06:00PM | Tan Kah Kee,FALSE
Sep CC - JC<>JC - Phy<>J1<>Superposition<>Enzhao<>Bukit Panjang<>BP-1 (JC)<>24<>09 Sep (Tue)<>1:30 pm,Sep CC - JC,JC - Phy,J1,Superposition,Enzhao,Bukit Panjang,BP-1 (JC),24,09 Sep (Tue),1:30:00 PM,9/9/2025,01:30PM - 04:30PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Bukit Panjang - 09 Sep (Tue) 1:30PM,[J1 Physics] Superposition - 09 Sep (Tue) | 01:30PM - 04:30PM | Bukit Panjang,,,0,,,5,,5,0,5 | 0 | 24,0.00%,0,0,,Default,[J1 Physics] Superposition - 09 Sep (Tue) | 01:30PM - 04:30PM | Bukit Panjang,FALSE
Sep CC - JC<>JC - Phy<>J1<>Superposition<>Aznikah<>Marymount<>MM-1<>28<>09 Sep (Tue)<>1:30 pm,Sep CC - JC,JC - Phy,J1,Superposition,Aznikah,Marymount,MM-1,28,09 Sep (Tue),1:30:00 PM,9/9/2025,01:30PM - 04:30PM,bit.ly/zenithMM,183 Upper Thomson Road B1-05 (Longhaus) S574429,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Marymount - 09 Sep (Tue) 1:30PM,[J1 Physics] Superposition - 09 Sep (Tue) | 01:30PM - 04:30PM | Marymount,,,0,,,14,,14,0,14 | 0 | 28,0.00%,0,0,,Default,[J1 Physics] Superposition - 09 Sep (Tue) | 01:30PM - 04:30PM | Marymount,FALSE
Sep CC - JC<>JC - Phy<>J1<>Superposition<>Aznikah<>Paya Lebar<>KINEX-4<>30<>10 Sep (Wed)<>10:00 am,Sep CC - JC,JC - Phy,J1,Superposition,Aznikah,Paya Lebar,KINEX-4,30,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 01:00PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Paya Lebar - 10 Sep (Wed) 10:00AM,[J1 Physics] Superposition - 10 Sep (Wed) | 10:00AM - 01:00PM | Paya Lebar,,,0,,,32,,32,0,32 | 0 | 30,0.00%,0,0,,Default,,TRUE
Sep CC - JC<>JC - Phy<>J1<>Superposition<>Han Wei<>Potong Pasir<>PP-2 (L1)<>21<>09 Sep (Tue)<>1:30 pm,Sep CC - JC,JC - Phy,J1,Superposition,Han Wei,Potong Pasir,PP-2 (L1),21,09 Sep (Tue),1:30:00 PM,9/9/2025,01:30PM - 04:30PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Potong Pasir - 09 Sep (Tue) 1:30PM,[J1 Physics] Superposition - 09 Sep (Tue) | 01:30PM - 04:30PM | Potong Pasir,,,0,,,18,,18,0,18 | 0 | 21,0.00%,0,0,,Default,[J1 Physics] Superposition - 09 Sep (Tue) | 01:30PM - 04:30PM | Potong Pasir,FALSE
Sep CC - JC<>JC - Phy<>J1<>Superposition<>Enzhao<>Tan Kah Kee<>CORO-1<>30<>11 Sep (Thu)<>1:30 pm,Sep CC - JC,JC - Phy,J1,Superposition,Enzhao,Tan Kah Kee,CORO-1,30,11 Sep (Thu),1:30:00 PM,9/11/2025,01:30PM - 04:30PM,bit.ly/zenithCORO,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Tan Kah Kee - 11 Sep (Thu) 1:30PM,[J1 Physics] Superposition - 11 Sep (Thu) | 01:30PM - 04:30PM | Tan Kah Kee,,,0,,,11,,11,0,11 | 0 | 30,0.00%,0,0,,Default,[J1 Physics] Superposition - 11 Sep (Thu) | 01:30PM - 04:30PM | Tan Kah Kee,FALSE
"Sep CC - JC<>JC - GP<>J1<>Paper 2 SAQ, Summary and NIT Practice<>Joey Kang<>Bukit Panjang<>BP-3 (SS)<>24<>26 Aug (Tue)<>0.708333333333333",Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Joey Kang,Bukit Panjang,BP-3 (SS),24,26 Aug (Tue),5:00:00 PM,8/26/2025,05:00PM - 08:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,GP,GP,GP,J1,,GP,J1 GP - Bukit Panjang - 26 Aug (Tue) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 26 Aug (Tue) | 05:00PM - 08:00PM | Bukit Panjang",,,0,,,24,,24,0,24 | 0 | 24,0.00%,0,0,,Default,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 26 Aug (Tue) | 05:00PM - 08:00PM | Bukit Panjang",FALSE
"Sep CC - JC<>JC - GP<>J1<>Paper 2 SAQ, Summary and NIT Practice<>Zach<>Buona Vista<>BV-LT<>70<>25 Aug (Mon)<>0.708333333333333",Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Zach,Buona Vista,BV-LT,70,25 Aug (Mon),5:00:00 PM,8/25/2025,05:00PM - 08:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,GP,GP,GP,J1,,GP,J1 GP - Buona Vista - 25 Aug (Mon) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 25 Aug (Mon) | 05:00PM - 08:00PM | Buona Vista",,,0,,,53,,53,0,53 | 0 | 70,0.00%,0,0,,Default,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 25 Aug (Mon) | 05:00PM - 08:00PM | Buona Vista",FALSE
"Sep CC - JC<>JC - GP<>J1<>Paper 2 SAQ, Summary and NIT Practice<>Finn<>Marymount<>MM-2<>27<>25 Aug (Mon)<>0.708333333333333",Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Finn,Marymount,MM-2,27,25 Aug (Mon),5:00:00 PM,8/25/2025,05:00PM - 08:00PM,bit.ly/zenithMM,183 Upper Thomson Road B1-05 (Longhaus) S574429,GP,GP,GP,J1,,GP,J1 GP - Marymount - 25 Aug (Mon) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 25 Aug (Mon) | 05:00PM - 08:00PM | Marymount",,,0,,,29,,29,0,29 | 0 | 27,0.00%,0,0,,Default,,TRUE
"Sep CC - JC<>JC - GP<>J1<>Paper 2 SAQ, Summary and NIT Practice<>Jaymi<>Paya Lebar<>KINEX-1<>24<>26 Aug (Tue)<>0.708333333333333",Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Jaymi,Paya Lebar,KINEX-1,24,26 Aug (Tue),5:00:00 PM,8/26/2025,05:00PM - 08:00PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,GP,GP,GP,J1,,GP,J1 GP - Paya Lebar - 26 Aug (Tue) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 26 Aug (Tue) | 05:00PM - 08:00PM | Paya Lebar",,,0,,,26,,26,0,26 | 0 | 24,0.00%,0,0,,Default,,TRUE
"Sep CC - JC<>JC - GP<>J1<>Paper 2 SAQ, Summary and NIT Practice<>Hui Ying<>Potong Pasir<>PP-4 (L2)<>36<>27 Aug (Wed)<>0.708333333333333",Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Hui Ying,Potong Pasir,PP-4 (L2),36,27 Aug (Wed),5:00:00 PM,8/27/2025,05:00PM - 08:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,GP,GP,GP,J1,,GP,J1 GP - Potong Pasir - 27 Aug (Wed) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 27 Aug (Wed) | 05:00PM - 08:00PM | Potong Pasir",,,0,,,38,,38,0,38 | 0 | 36,0.00%,0,0,,Default,,FALSE
