Scheduling code,Purpose,Subject,Level,Topic,Tutor,Centre,Classroom,Capacity,Date (text),Start Time,Date,Timeslot (+3hr),Video Guides,Address,Subject1,Subject2,Subject(Display),Level1,CC Type,Form Question,ConfirmationMsg Template,Form Entry,,,Duplicate class,Remarks,No. Regular S,No. Signups,,Total Signups,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Actual Confirmed,Attendance,Conversion,Form Controls,Form Option to Display
"Sep CC - JC<>JC - Chem<>J1<>Acid-Base Equilibria (NYJC, TMJC, EJC, VJC Only)<>Zoey<>Tampines<>TP-1 (main)<>28<>10 Sep (Wed)<>10:00 am",Sep CC - JC,JC - Chem,J1,"Acid-Base Equilibria (NYJC, TMJC, EJC, VJC Only)",Zoey,Tampines,TP-1 (main),28,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 01:00PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Tampines - 10 Sep (Wed) 10:00AM,"[J1 Chemistry] Acid-Base Equilibria (NYJC, TMJC, EJC, VJC Only) - 10 Sep (Wed) | 10:00AM - 01:00PM | Tampines",,,0,,,0,,0,0,0 | 0 | 28,0.00%,0,0,,Default,"[J1 Chemistry] Acid-Base Equilibria (NYJC, TMJC, EJC, VJC Only) - 10 Sep (Wed) | 10:00AM - 01:00PM | Tampines"
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>E Ler<>Jurong East<>JE-1<>30<>09 Sep (Tue)<>10:00 am",Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Finn,Marymount,MM-2,27,25 Aug (Mon),5:00:00 PM,8/25/2025,05:00PM - 08:00PM,bit.ly/zenithMM,183 Upper Thomson Road B1-05 (Longhaus) S574429,GP,GP,GP,J1,,GP,J1 GP - Marymount - 25 Aug (Mon) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 25 Aug (Mon) | 05:00PM - 08:00PM | Marymount",,,1,,,0,,0,0,0 | 0 | 27,0.00%,0,0,,Default,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 25 Aug (Mon) | 05:00PM - 08:00PM | Marymount"
"Sep CC - JC<>JC - GP<>J1<>Paper 2 SAQ, Summary and NIT Practice<>Finn<>Marymount<>MM-2<>27<>25 Aug (Mon)<>5:00:00 PM",Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Finn,Marymount,MM-2,27,25 Aug (Mon),5:00:00 PM,8/25/2025,05:00PM - 08:00PM,bit.ly/zenithMM,183 Upper Thomson Road B1-05 (Longhaus) S574429,GP,GP,GP,J1,,GP,J1 GP - Marymount - 25 Aug (Mon) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 25 Aug (Mon) | 05:00PM - 08:00PM | Marymount",,,1,,,0,,0,0,0 | 0 | 27,0.00%,0,0,,Default,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 25 Aug (Mon) | 05:00PM - 08:00PM | Marymount"
Sep CC - JC<>JC - Bio<>J1<>Control of Ekaryotic Gene Expression<>Josh<>Jurong East<>JE-2<>25<>11 Sep (Thu)<>10:00 am,Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Jaymi,Paya Lebar,KINEX-1,24,26 Aug (Tue),5:00:00 PM,8/26/2025,05:00PM - 08:00PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,GP,GP,GP,J1,,GP,J1 GP - Paya Lebar - 26 Aug (Tue) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 26 Aug (Tue) | 05:00PM - 08:00PM | Paya Lebar",,,1,,,0,,0,0,0 | 0 | 24,0.00%,0,0,,Default,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 26 Aug (Tue) | 05:00PM - 08:00PM | Paya Lebar"
"Sep CC - JC<>JC - GP<>J1<>Paper 2 SAQ, Summary and NIT Practice<>Jaymi<>Paya Lebar<>KINEX-1<>24<>26 Aug (Tue)<>5:00:00 PM",Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Jaymi,Paya Lebar,KINEX-1,24,26 Aug (Tue),5:00:00 PM,8/26/2025,05:00PM - 08:00PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,GP,GP,GP,J1,,GP,J1 GP - Paya Lebar - 26 Aug (Tue) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 26 Aug (Tue) | 05:00PM - 08:00PM | Paya Lebar",,,1,,,0,,0,0,0 | 0 | 24,0.00%,0,0,,Default,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 26 Aug (Tue) | 05:00PM - 08:00PM | Paya Lebar"
"Sep CC - JC<>JC - GP<>J1<>Paper 2 SAQ, Summary and NIT Practice<>Hui Ying<>Potong Pasir<>PP-4 (L2)<>36<>27 Aug (Wed)<>5:00:00 PM",Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Hui Ying,Potong Pasir,PP-4 (L2),36,27 Aug (Wed),5:00:00 PM,8/27/2025,05:00PM - 08:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,GP,GP,GP,J1,,GP,J1 GP - Potong Pasir - 27 Aug (Wed) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 27 Aug (Wed) | 05:00PM - 08:00PM | Potong Pasir",,,1,,,0,,0,0,0 | 0 | 36,0.00%,0,0,,Default,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 27 Aug (Wed) | 05:00PM - 08:00PM | Potong Pasir"
Sep CC - JC<>JC - Phy<>J1<>Gravitational Field<>Enzhao<>Jurong East<>JE-2<>25<>12 Sep (Fri)<>1:30 pm,Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Hui Ying,Potong Pasir,PP-4 (L2),36,27 Aug (Wed),5:00:00 PM,8/27/2025,05:00PM - 08:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,GP,GP,GP,J1,,GP,J1 GP - Potong Pasir - 27 Aug (Wed) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 27 Aug (Wed) | 05:00PM - 08:00PM | Potong Pasir",,,1,,,0,,0,0,0 | 0 | 36,0.00%,0,0,,Default,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 27 Aug (Wed) | 05:00PM - 08:00PM | Potong Pasir"
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>Ding Jiang<>Bukit Panjang<>BP-1 (JC)<>24<>10 Sep (Wed)<>10:00 am,Sep CC - JC,JC - Chem,J1,Reaction Kinetics,Ding Jiang,Bukit Panjang,BP-1 (JC),24,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 01:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Bukit Panjang - 10 Sep (Wed) 10:00AM,[J1 Chemistry] Reaction Kinetics - 10 Sep (Wed) | 10:00AM - 01:00PM | Bukit Panjang,,,0,,,0,,0,0,0 | 0 | 24,0.00%,0,0,,Default,[J1 Chemistry] Reaction Kinetics - 10 Sep (Wed) | 10:00AM - 01:00PM | Bukit Panjang
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>Kelly<>Kovan<>KO-1<>29<>11 Sep (Thu)<>10:00 am,Sep CC - JC,JC - Chem,J1,Reaction Kinetics,Kelly,Kovan,KO-1,29,11 Sep (Thu),10:00:00 AM,9/11/2025,10:00AM - 01:00PM,,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Kovan - 11 Sep (Thu) 10:00AM,[J1 Chemistry] Reaction Kinetics - 11 Sep (Thu) | 10:00AM - 01:00PM | Kovan,,,0,,,0,,0,0,0 | 0 | 29,0.00%,0,0,,Default,[J1 Chemistry] Reaction Kinetics - 11 Sep (Thu) | 10:00AM - 01:00PM | Kovan
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>Kelly<>Kovan<>KO-1<>29<>12 Sep (Fri)<>10:00 am,Sep CC - JC,JC - Chem,J1,Reaction Kinetics,Kelly,Kovan,KO-1,29,12 Sep (Fri),10:00:00 AM,9/12/2025,10:00AM - 01:00PM,,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Kovan - 12 Sep (Fri) 10:00AM,[J1 Chemistry] Reaction Kinetics - 12 Sep (Fri) | 10:00AM - 01:00PM | Kovan,,,0,,,0,,0,0,0 | 0 | 29,0.00%,0,0,,Default,[J1 Chemistry] Reaction Kinetics - 12 Sep (Fri) | 10:00AM - 01:00PM | Kovan
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>Ryan Liu<>Paya Lebar<>KINEX-2<>30<>08 Sep (Mon)<>1:30 pm,Sep CC - JC,JC - Chem,J1,Reaction Kinetics,Ryan Liu,Paya Lebar,KINEX-2,30,08 Sep (Mon),1:30:00 PM,9/8/2025,01:30PM - 04:30PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Paya Lebar - 08 Sep (Mon) 1:30PM,[J1 Chemistry] Reaction Kinetics - 08 Sep (Mon) | 01:30PM - 04:30PM | Paya Lebar,,,0,,,0,,0,0,0 | 0 | 30,0.00%,0,0,,Default,[J1 Chemistry] Reaction Kinetics - 08 Sep (Mon) | 01:30PM - 04:30PM | Paya Lebar
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>Ryan Kong<>Potong Pasir<>PP-4 (L2)<>36<>12 Sep (Fri)<>10:00 am,Sep CC - JC,JC - Chem,J1,Reaction Kinetics,Ryan Kong,Potong Pasir,PP-4 (L2),36,12 Sep (Fri),10:00:00 AM,9/12/2025,10:00AM - 01:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Potong Pasir - 12 Sep (Fri) 10:00AM,[J1 Chemistry] Reaction Kinetics - 12 Sep (Fri) | 10:00AM - 01:00PM | Potong Pasir,,,0,,,0,,0,0,0 | 0 | 36,0.00%,0,0,,Default,[J1 Chemistry] Reaction Kinetics - 12 Sep (Fri) | 10:00AM - 01:00PM | Potong Pasir
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>Xavier Tan<>Tan Kah Kee<>TKK-2<>30<>08 Sep (Mon)<>3:00 pm,Sep CC - JC,JC - Chem,J1,Reaction Kinetics,Xavier Tan,Tan Kah Kee,TKK-2,30,08 Sep (Mon),3:00:00 PM,9/8/2025,03:00PM - 06:00PM,bit.ly/TKK607,607 Bukit Timah Road #02-01 S269708,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Tan Kah Kee - 08 Sep (Mon) 3:00PM,[J1 Chemistry] Reaction Kinetics - 08 Sep (Mon) | 03:00PM - 06:00PM | Tan Kah Kee,,,0,,,0,,0,0,0 | 0 | 30,0.00%,0,0,,Default,[J1 Chemistry] Reaction Kinetics - 08 Sep (Mon) | 03:00PM - 06:00PM | Tan Kah Kee
Sep CC - JC<>JC - Phy<>J1<>Superposition<>Enzhao<>Bukit Panjang<>BP-1 (JC)<>24<>09 Sep (Tue)<>1:30 pm,Sep CC - JC,JC - Phy,J1,Superposition,Enzhao,Bukit Panjang,BP-1 (JC),24,09 Sep (Tue),1:30:00 PM,9/9/2025,01:30PM - 04:30PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Bukit Panjang - 09 Sep (Tue) 1:30PM,[J1 Physics] Superposition - 09 Sep (Tue) | 01:30PM - 04:30PM | Bukit Panjang,,,0,,,0,,0,0,0 | 0 | 24,0.00%,0,0,,Default,[J1 Physics] Superposition - 09 Sep (Tue) | 01:30PM - 04:30PM | Bukit Panjang
Sep CC - JC<>JC - Phy<>J1<>Superposition<>Aznikah<>Marymount<>MM-1<>28<>09 Sep (Tue)<>1:30 pm,Sep CC - JC,JC - Phy,J1,Superposition,Aznikah,Marymount,MM-1,28,09 Sep (Tue),1:30:00 PM,9/9/2025,01:30PM - 04:30PM,bit.ly/zenithMM,183 Upper Thomson Road B1-05 (Longhaus) S574429,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Marymount - 09 Sep (Tue) 1:30PM,[J1 Physics] Superposition - 09 Sep (Tue) | 01:30PM - 04:30PM | Marymount,,,0,,,0,,0,0,0 | 0 | 28,0.00%,0,0,,Default,[J1 Physics] Superposition - 09 Sep (Tue) | 01:30PM - 04:30PM | Marymount
Sep CC - JC<>JC - Phy<>J1<>Superposition<>Aznikah<>Paya Lebar<>KINEX-4<>30<>10 Sep (Wed)<>10:00 am,Sep CC - JC,JC - Phy,J1,Superposition,Aznikah,Paya Lebar,KINEX-4,30,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 01:00PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Paya Lebar - 10 Sep (Wed) 10:00AM,[J1 Physics] Superposition - 10 Sep (Wed) | 10:00AM - 01:00PM | Paya Lebar,,,0,,,0,,0,0,0 | 0 | 30,0.00%,0,0,,Default,[J1 Physics] Superposition - 10 Sep (Wed) | 10:00AM - 01:00PM | Paya Lebar
Sep CC - JC<>JC - Phy<>J1<>Superposition<>Han Wei<>Potong Pasir<>PP-2 (L1)<>21<>09 Sep (Tue)<>1:30 pm,Sep CC - JC,JC - Phy,J1,Superposition,Han Wei,Potong Pasir,PP-2 (L1),21,09 Sep (Tue),1:30:00 PM,9/9/2025,01:30PM - 04:30PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Potong Pasir - 09 Sep (Tue) 1:30PM,[J1 Physics] Superposition - 09 Sep (Tue) | 01:30PM - 04:30PM | Potong Pasir,,,0,,,0,,0,0,0 | 0 | 21,0.00%,0,0,,Default,[J1 Physics] Superposition - 09 Sep (Tue) | 01:30PM - 04:30PM | Potong Pasir
Sep CC - JC<>JC - Phy<>J1<>Superposition<>Enzhao<>Tan Kah Kee<>CORO-1<>30<>11 Sep (Thu)<>1:30 pm,Sep CC - JC,JC - Phy,J1,Superposition,Enzhao,Tan Kah Kee,CORO-1,30,11 Sep (Thu),1:30:00 PM,9/11/2025,01:30PM - 04:30PM,bit.ly/zenithCORO,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Tan Kah Kee - 11 Sep (Thu) 1:30PM,[J1 Physics] Superposition - 11 Sep (Thu) | 01:30PM - 04:30PM | Tan Kah Kee,,,0,,,0,,0,0,0 | 0 | 30,0.00%,0,0,,Default,[J1 Physics] Superposition - 11 Sep (Thu) | 01:30PM - 04:30PM | Tan Kah Kee
