Scheduling code,Purpose,Subject,Level,Topic,Tutor,Centre,Classroom,Capacity,Date (text),Start Time,Date,Timeslot (+3hr),Video Guides,Address,Subject1,Subject2,Level1,CC Type,Form Question,ConfirmationMsg Template,Form Entry,[Waitlist] Form Entry,,Duplicate class,Remarks,No. Regular S,No. Signups,No. Waitlist Signups,Total Signups,No. Confirmed,Total Signups | Confirmed | Capacity | Waitlist,Confirmed Capacity%,Actual Confirmed,Attendance,Conversion,Form Controls,Form Option to Display
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Melvin<>Bukit Panjang<>BP-1 (JC)<>24<>29 May (Thu)<>5:00 PM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Melvin,Bukit Panjang,BP-1 (JC),24,29 May (Thu),5:00:00 PM,5/29/2025,05:00PM - 08:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,BIO,BIO,J1,CC Type,Biology,Biology - Bukit Panjang - 29 May (Thu) 5PM,[JC1 Biology] DNA Structure & Replication - 29 May (Thu) | 05:00PM - 08:00PM | Bukit Panjang,[Waitlist] [JC1 Biology] DNA Structure & Replication - 29 May (Thu) | 05:00PM - 08:00PM | Bukit Panjang,,0,,,0,0,0,0,0 | 0 | 24 | 0,0.00%,0,0,,Default,[JC1 Biology] DNA Structure & Replication - 29 May (Thu) | 05:00PM - 08:00PM | Bukit Panjang
JC - JunCC<>Chemistry<>JC1<>Energetics<>Dr. Liu<>Bishan<>BS-LT<>70<>27 May (Tue)<>5:00 PM,JC - JunCC,Chemistry,JC1,Energetics,Dr. Liu,Bishan,BS-LT,70,27 May (Tue),5:00:00 PM,5/27/2025,05:00PM - 08:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Bishan - 27 May (Tue) 5PM,[JC1 Chemistry] Energetics - 27 May (Tue) | 05:00PM - 08:00PM | Bishan,[Waitlist] [JC1 Chemistry] Energetics - 27 May (Tue) | 05:00PM - 08:00PM | Bishan,,0,,,2,0,2,2,2 | 2 | 70 | 0,2.86%,2,0,,Default,[JC1 Chemistry] Energetics - 27 May (Tue) | 05:00PM - 08:00PM | Bishan
JC - JunCC<>Chemistry<>JC1<>Energetics<>Dr. Liu<>Paya Lebar<>KINEX-2<>30<>29 May (Thu)<>5:00 PM,JC - JunCC,Chemistry,JC1,Energetics,Dr. Liu,Paya Lebar,KINEX-2,30,29 May (Thu),5:00:00 PM,5/29/2025,05:00PM - 08:00PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Paya Lebar - 29 May (Thu) 5PM,[JC1 Chemistry] Energetics - 29 May (Thu) | 05:00PM - 08:00PM | Paya Lebar,[Waitlist] [JC1 Chemistry] Energetics - 29 May (Thu) | 05:00PM - 08:00PM | Paya Lebar,,0,,,8,0,8,6,8 | 6 | 30 | 0,20.00%,6,0,,Default,[JC1 Chemistry] Energetics - 29 May (Thu) | 05:00PM - 08:00PM | Paya Lebar
JC - JunCC<>Chemistry<>JC1<>Energetics<>Xavier Tan<>Tan Kah Kee<>TKK-2<>30<>30 May (Fri)<>5:00 PM,JC - JunCC,Chemistry,JC1,Energetics,Xavier Tan,Tan Kah Kee,TKK-2,30,30 May (Fri),5:00:00 PM,5/30/2025,05:00PM - 08:00PM,bit.ly/zenithTKK,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Tan Kah Kee - 30 May (Fri) 5PM,[JC1 Chemistry] Energetics - 30 May (Fri) | 05:00PM - 08:00PM | Tan Kah Kee,[Waitlist] [JC1 Chemistry] Energetics - 30 May (Fri) | 05:00PM - 08:00PM | Tan Kah Kee,,0,,,0,0,0,0,0 | 0 | 30 | 0,0.00%,0,0,,Default,[JC1 Chemistry] Energetics - 30 May (Fri) | 05:00PM - 08:00PM | Tan Kah Kee
JC - JunCC<>Chemistry<>JC1<>Energetics<>Xavier Tan<>Tan Kah Kee<>TKK-2<>30<>2 Jun (Mon)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Xavier Tan,Tan Kah Kee,TKK-2,30,2 Jun (Mon),10:00:00 AM,6/2/2025,10:00AM - 01:00PM,bit.ly/zenithTKK,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Tan Kah Kee - 2 Jun (Mon) 10AM,[JC1 Chemistry] Energetics - 2 Jun (Mon) | 10:00AM - 01:00PM | Tan Kah Kee,[Waitlist] [JC1 Chemistry] Energetics - 2 Jun (Mon) | 10:00AM - 01:00PM | Tan Kah Kee,,0,,,3,0,3,3,3 | 3 | 30 | 0,10.00%,3,0,,Default,[JC1 Chemistry] Energetics - 2 Jun (Mon) | 10:00AM - 01:00PM | Tan Kah Kee
JC - JunCC<>Chemistry<>JC1<>Energetics<>Ryan Kong<>Potong Pasir<>PP-3 (L2)<>14<>3 Jun (Tue)<>1:30 PM,JC - JunCC,Chemistry,JC1,Energetics,Ryan Kong,Potong Pasir,PP-3 (L2),14,3 Jun (Tue),1:30:00 PM,6/3/2025,01:30PM - 04:30PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Potong Pasir - 3 Jun (Tue) 1PM,[JC1 Chemistry] Energetics - 3 Jun (Tue) | 01:30PM - 04:30PM | Potong Pasir,[Waitlist] [JC1 Chemistry] Energetics - 3 Jun (Tue) | 01:30PM - 04:30PM | Potong Pasir,,0,,,1,0,1,1,1 | 1 | 14 | 0,7.14%,1,0,,Default,[JC1 Chemistry] Energetics - 3 Jun (Tue) | 01:30PM - 04:30PM | Potong Pasir
JC - JunCC<>Chemistry<>JC1<>Energetics<>Ding Jiang<>Buona Vista<>BV-4 (L2)<>22<>4 Jun (Wed)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Ding Jiang,Buona Vista,BV-4 (L2),22,4 Jun (Wed),10:00:00 AM,6/4/2025,10:00AM - 01:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Buona Vista - 4 Jun (Wed) 10AM,[JC1 Chemistry] Energetics - 4 Jun (Wed) | 10:00AM - 01:00PM | Buona Vista,[Waitlist] [JC1 Chemistry] Energetics - 4 Jun (Wed) | 10:00AM - 01:00PM | Buona Vista,,0,,,4,0,4,4,4 | 4 | 22 | 0,18.18%,4,0,,Default,[JC1 Chemistry] Energetics - 4 Jun (Wed) | 10:00AM - 01:00PM | Buona Vista
JC - JunCC<>Chemistry<>JC1<>Energetics<>Ryan Kong<>Potong Pasir<>PP-3 (L2)<>14<>4 Jun (Wed)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Ryan Kong,Potong Pasir,PP-3 (L2),14,4 Jun (Wed),10:00:00 AM,6/4/2025,10:00AM - 01:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Potong Pasir - 4 Jun (Wed) 10AM,[JC1 Chemistry] Energetics - 4 Jun (Wed) | 10:00AM - 01:00PM | Potong Pasir,[Waitlist] [JC1 Chemistry] Energetics - 4 Jun (Wed) | 10:00AM - 01:00PM | Potong Pasir,,0,,,0,0,0,0,0 | 0 | 14 | 0,0.00%,0,0,,Default,[JC1 Chemistry] Energetics - 4 Jun (Wed) | 10:00AM - 01:00PM | Potong Pasir
JC - JunCC<>Chemistry<>JC1<>Energetics<>Dr. Liu<>Paya Lebar<>KINEX-1<>24<>4 Jun (Wed)<>1:30 PM,JC - JunCC,Chemistry,JC1,Energetics,Dr. Liu,Paya Lebar,KINEX-1,24,4 Jun (Wed),1:30:00 PM,6/4/2025,01:30PM - 04:30PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Paya Lebar - 4 Jun (Wed) 1PM,[JC1 Chemistry] Energetics - 4 Jun (Wed) | 01:30PM - 04:30PM | Paya Lebar,[Waitlist] [JC1 Chemistry] Energetics - 4 Jun (Wed) | 01:30PM - 04:30PM | Paya Lebar,,0,,,4,0,4,4,4 | 4 | 24 | 0,16.67%,4,0,,Default,[JC1 Chemistry] Energetics - 4 Jun (Wed) | 01:30PM - 04:30PM | Paya Lebar
JC - JunCC<>Chemistry<>JC1<>Energetics<>Ding Jiang<>Buona Vista<>BV-3 (L2)<>30<>5 Jun (Thu)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Ding Jiang,Buona Vista,BV-3 (L2),30,5 Jun (Thu),10:00:00 AM,6/5/2025,10:00AM - 01:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Buona Vista - 5 Jun (Thu) 10AM,[JC1 Chemistry] Energetics - 5 Jun (Thu) | 10:00AM - 01:00PM | Buona Vista,[Waitlist] [JC1 Chemistry] Energetics - 5 Jun (Thu) | 10:00AM - 01:00PM | Buona Vista,,0,,,2,0,2,2,2 | 2 | 30 | 0,6.67%,2,0,,Default,[JC1 Chemistry] Energetics - 5 Jun (Thu) | 10:00AM - 01:00PM | Buona Vista
JC - JunCC<>Chemistry<>JC1<>Energetics<>Dr. Liu<>Paya Lebar<>KINEX-4<>30<>6 Jun (Fri)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Dr. Liu,Paya Lebar,KINEX-4,30,6 Jun (Fri),10:00:00 AM,6/6/2025,10:00AM - 01:00PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Paya Lebar - 6 Jun (Fri) 10AM,[JC1 Chemistry] Energetics - 6 Jun (Fri) | 10:00AM - 01:00PM | Paya Lebar,[Waitlist] [JC1 Chemistry] Energetics - 6 Jun (Fri) | 10:00AM - 01:00PM | Paya Lebar,,0,,,2,0,2,2,2 | 2 | 30 | 0,6.67%,2,0,,Default,[JC1 Chemistry] Energetics - 6 Jun (Fri) | 10:00AM - 01:00PM | Paya Lebar
JC - JunCC<>Chemistry<>JC1<>Energetics<>Zoey<>Tampines<>TP-2<>25<>6 Jun (Fri)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Zoey,Tampines,TP-2,25,6 Jun (Fri),10:00:00 AM,6/6/2025,10:00AM - 01:00PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Tampines - 6 Jun (Fri) 10AM,[JC1 Chemistry] Energetics - 6 Jun (Fri) | 10:00AM - 01:00PM | Tampines,[Waitlist] [JC1 Chemistry] Energetics - 6 Jun (Fri) | 10:00AM - 01:00PM | Tampines,,0,,,2,0,2,1,2 | 1 | 25 | 0,4.00%,1,0,,Default,[JC1 Chemistry] Energetics - 6 Jun (Fri) | 10:00AM - 01:00PM | Tampines
JC - JunCC<>Chemistry<>JC1<>Energetics<>Ding Jiang<>Bukit Panjang<>BP-1 (JC)<>24<>6 Jun (Fri)<>1:30 PM,JC - JunCC,Chemistry,JC1,Energetics,Ding Jiang,Bukit Panjang,BP-1 (JC),24,6 Jun (Fri),1:30:00 PM,6/6/2025,01:30PM - 04:30PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Bukit Panjang - 6 Jun (Fri) 1PM,[JC1 Chemistry] Energetics - 6 Jun (Fri) | 01:30PM - 04:30PM | Bukit Panjang,[Waitlist] [JC1 Chemistry] Energetics - 6 Jun (Fri) | 01:30PM - 04:30PM | Bukit Panjang,,0,,,2,0,2,2,2 | 2 | 24 | 0,8.33%,2,0,,Default,[JC1 Chemistry] Energetics - 6 Jun (Fri) | 01:30PM - 04:30PM | Bukit Panjang
JC - JunCC<>Chemistry<>JC1<>Energetics<>Xavier Tan<>Tan Kah Kee<>TKK-2<>30<>6 Jun (Fri)<>1:30 PM,JC - JunCC,Chemistry,JC1,Energetics,Xavier Tan,Tan Kah Kee,TKK-2,30,6 Jun (Fri),1:30:00 PM,6/6/2025,01:30PM - 04:30PM,bit.ly/zenithTKK,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Tan Kah Kee - 6 Jun (Fri) 1PM,[JC1 Chemistry] Energetics - 6 Jun (Fri) | 01:30PM - 04:30PM | Tan Kah Kee,[Waitlist] [JC1 Chemistry] Energetics - 6 Jun (Fri) | 01:30PM - 04:30PM | Tan Kah Kee,,0,,,0,0,0,0,0 | 0 | 30 | 0,0.00%,0,0,,Default,[JC1 Chemistry] Energetics - 6 Jun (Fri) | 01:30PM - 04:30PM | Tan Kah Kee
JC - JunCC<>Chemistry<>JC1<>Energetics<>Tan Jia Yi<>Bukit Panjang<>BP-1 (JC)<>24<>10 Jun (Tue)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Tan Jia Yi,Bukit Panjang,BP-1 (JC),24,10 Jun (Tue),10:00:00 AM,6/10/2025,10:00AM - 01:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Bukit Panjang - 10 Jun (Tue) 10AM,[JC1 Chemistry] Energetics - 10 Jun (Tue) | 10:00AM - 01:00PM | Bukit Panjang,[Waitlist] [JC1 Chemistry] Energetics - 10 Jun (Tue) | 10:00AM - 01:00PM | Bukit Panjang,,0,,,1,0,1,0,1 | 0 | 24 | 0,0.00%,0,0,,Default,[JC1 Chemistry] Energetics - 10 Jun (Tue) | 10:00AM - 01:00PM | Bukit Panjang
JC - JunCC<>Chemistry<>JC1<>Energetics<>Dr. Liu<>Bishan<>BS-LT<>70<>10 Jun (Tue)<>1:30 PM,JC - JunCC,Chemistry,JC1,Energetics,Dr. Liu,Bishan,BS-LT,70,10 Jun (Tue),1:30:00 PM,6/10/2025,01:30PM - 04:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Bishan - 10 Jun (Tue) 1PM,[JC1 Chemistry] Energetics - 10 Jun (Tue) | 01:30PM - 04:30PM | Bishan,[Waitlist] [JC1 Chemistry] Energetics - 10 Jun (Tue) | 01:30PM - 04:30PM | Bishan,,0,,,5,0,5,5,5 | 5 | 70 | 0,7.14%,5,0,,Default,[JC1 Chemistry] Energetics - 10 Jun (Tue) | 01:30PM - 04:30PM | Bishan
JC - JunCC<>Chemistry<>JC1<>Energetics<>Ding Jiang<>Buona Vista<>BV-2 (L3)<>22<>11 Jun (Wed)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Ding Jiang,Buona Vista,BV-2 (L3),22,11 Jun (Wed),10:00:00 AM,6/11/2025,10:00AM - 01:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Buona Vista - 11 Jun (Wed) 10AM,[JC1 Chemistry] Energetics - 11 Jun (Wed) | 10:00AM - 01:00PM | Buona Vista,[Waitlist] [JC1 Chemistry] Energetics - 11 Jun (Wed) | 10:00AM - 01:00PM | Buona Vista,,0,,,2,0,2,2,2 | 2 | 22 | 0,9.09%,2,0,,Default,[JC1 Chemistry] Energetics - 11 Jun (Wed) | 10:00AM - 01:00PM | Buona Vista
JC - JunCC<>Chemistry<>JC1<>Energetics<>Ryan Kong<>Potong Pasir<>PP-4 (L2)<>36<>11 Jun (Wed)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Ryan Kong,Potong Pasir,PP-4 (L2),36,11 Jun (Wed),10:00:00 AM,6/11/2025,10:00AM - 01:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Potong Pasir - 11 Jun (Wed) 10AM,[JC1 Chemistry] Energetics - 11 Jun (Wed) | 10:00AM - 01:00PM | Potong Pasir,[Waitlist] [JC1 Chemistry] Energetics - 11 Jun (Wed) | 10:00AM - 01:00PM | Potong Pasir,,0,,,2,0,2,2,2 | 2 | 36 | 0,5.56%,2,0,,Default,[JC1 Chemistry] Energetics - 11 Jun (Wed) | 10:00AM - 01:00PM | Potong Pasir
JC - JunCC<>Chemistry<>JC1<>Energetics<>Tan Jia Yi<>Marymount<>MM-1<>28<>11 Jun (Wed)<>1:30 PM,JC - JunCC,Chemistry,JC1,Energetics,Tan Jia Yi,Marymount,MM-1,28,11 Jun (Wed),1:30:00 PM,6/11/2025,01:30PM - 04:30PM,bit.ly/zenithMM,183 Upper Thomson Road  #B1-05 (Longhaus) S574429,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Marymount - 11 Jun (Wed) 1PM,[JC1 Chemistry] Energetics - 11 Jun (Wed) | 01:30PM - 04:30PM | Marymount,[Waitlist] [JC1 Chemistry] Energetics - 11 Jun (Wed) | 01:30PM - 04:30PM | Marymount,,0,,,0,0,0,0,0 | 0 | 28 | 0,0.00%,0,0,,Default,[JC1 Chemistry] Energetics - 11 Jun (Wed) | 01:30PM - 04:30PM | Marymount
JC - JunCC<>Chemistry<>JC1<>Energetics<>Xavier Tan<>Tan Kah Kee<>TKK-2<>30<>11 Jun (Wed)<>1:30 PM,JC - JunCC,Chemistry,JC1,Energetics,Xavier Tan,Tan Kah Kee,TKK-2,30,11 Jun (Wed),1:30:00 PM,6/11/2025,01:30PM - 04:30PM,bit.ly/zenithTKK,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Tan Kah Kee - 11 Jun (Wed) 1PM,[JC1 Chemistry] Energetics - 11 Jun (Wed) | 01:30PM - 04:30PM | Tan Kah Kee,[Waitlist] [JC1 Chemistry] Energetics - 11 Jun (Wed) | 01:30PM - 04:30PM | Tan Kah Kee,,0,,,2,0,2,2,2 | 2 | 30 | 0,6.67%,2,0,,Default,[JC1 Chemistry] Energetics - 11 Jun (Wed) | 01:30PM - 04:30PM | Tan Kah Kee
JC - JunCC<>Chemistry<>JC1<>Energetics<>Ding Jiang<>Bukit Panjang<>BP-1 (JC)<>24<>12 Jun (Thu)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Ding Jiang,Bukit Panjang,BP-1 (JC),24,12 Jun (Thu),10:00:00 AM,6/12/2025,10:00AM - 01:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Bukit Panjang - 12 Jun (Thu) 10AM,[JC1 Chemistry] Energetics - 12 Jun (Thu) | 10:00AM - 01:00PM | Bukit Panjang,[Waitlist] [JC1 Chemistry] Energetics - 12 Jun (Thu) | 10:00AM - 01:00PM | Bukit Panjang,,0,,,0,0,0,0,0 | 0 | 24 | 0,0.00%,0,0,,Default,[JC1 Chemistry] Energetics - 12 Jun (Thu) | 10:00AM - 01:00PM | Bukit Panjang
JC - JunCC<>Chemistry<>JC1<>Energetics<>Kelly<>Jurong East (CPF Building)<>JE-1<>30<>12 Jun (Thu)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Kelly,Jurong East (CPF Building),JE-1,30,12 Jun (Thu),10:00:00 AM,6/12/2025,10:00AM - 01:00PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Jurong East (CPF Building) - 12 Jun (Thu) 10AM,[JC1 Chemistry] Energetics - 12 Jun (Thu) | 10:00AM - 01:00PM | Jurong East (CPF Building),[Waitlist] [JC1 Chemistry] Energetics - 12 Jun (Thu) | 10:00AM - 01:00PM | Jurong East (CPF Building),,0,,,2,0,2,1,2 | 1 | 30 | 0,3.33%,1,0,,Default,[JC1 Chemistry] Energetics - 12 Jun (Thu) | 10:00AM - 01:00PM | Jurong East (CPF Building)
JC - JunCC<>Chemistry<>JC1<>Energetics<>Zoey<>Tampines<>TP-1<>28<>12 Jun (Thu)<>1:30 PM,JC - JunCC,Chemistry,JC1,Energetics,Zoey,Tampines,TP-1,28,12 Jun (Thu),1:30:00 PM,6/12/2025,01:30PM - 04:30PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Tampines - 12 Jun (Thu) 1PM,[JC1 Chemistry] Energetics - 12 Jun (Thu) | 01:30PM - 04:30PM | Tampines,[Waitlist] [JC1 Chemistry] Energetics - 12 Jun (Thu) | 01:30PM - 04:30PM | Tampines,,0,,,1,0,1,1,1 | 1 | 28 | 0,3.57%,1,0,,Default,[JC1 Chemistry] Energetics - 12 Jun (Thu) | 01:30PM - 04:30PM | Tampines
JC - JunCC<>Chemistry<>JC1<>Energetics<>Xavier Tan<>Tan Kah Kee<>TKK-2<>30<>13 Jun (Fri)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Xavier Tan,Tan Kah Kee,TKK-2,30,13 Jun (Fri),10:00:00 AM,6/13/2025,10:00AM - 01:00PM,bit.ly/zenithTKK,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Tan Kah Kee - 13 Jun (Fri) 10AM,[JC1 Chemistry] Energetics - 13 Jun (Fri) | 10:00AM - 01:00PM | Tan Kah Kee,[Waitlist] [JC1 Chemistry] Energetics - 13 Jun (Fri) | 10:00AM - 01:00PM | Tan Kah Kee,,0,,,2,0,2,1,2 | 1 | 30 | 0,3.33%,1,0,,Default,[JC1 Chemistry] Energetics - 13 Jun (Fri) | 10:00AM - 01:00PM | Tan Kah Kee
JC - JunCC<>Chemistry<>JC1<>Energetics<>Kelly<>Jurong East (CPF Building)<>JE-1<>30<>16 Jun (Mon)<>1:30 PM,JC - JunCC,Chemistry,JC1,Energetics,Kelly,Jurong East (CPF Building),JE-1,30,16 Jun (Mon),1:30:00 PM,6/16/2025,01:30PM - 04:30PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Jurong East (CPF Building) - 16 Jun (Mon) 1PM,[JC1 Chemistry] Energetics - 16 Jun (Mon) | 01:30PM - 04:30PM | Jurong East (CPF Building),[Waitlist] [JC1 Chemistry] Energetics - 16 Jun (Mon) | 01:30PM - 04:30PM | Jurong East (CPF Building),,0,,,5,0,5,5,5 | 5 | 30 | 0,16.67%,5,0,,Default,[JC1 Chemistry] Energetics - 16 Jun (Mon) | 01:30PM - 04:30PM | Jurong East (CPF Building)
JC - JunCC<>Chemistry<>JC1<>Energetics<>Dr. Liu<>Paya Lebar<>KINEX-3 (school)<>18<>17 Jun (Tue)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Dr. Liu,Paya Lebar,KINEX-3 (school),18,17 Jun (Tue),10:00:00 AM,6/17/2025,10:00AM - 01:00PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Paya Lebar - 17 Jun (Tue) 10AM,[JC1 Chemistry] Energetics - 17 Jun (Tue) | 10:00AM - 01:00PM | Paya Lebar,[Waitlist] [JC1 Chemistry] Energetics - 17 Jun (Tue) | 10:00AM - 01:00PM | Paya Lebar,,0,,,6,0,6,6,6 | 6 | 18 | 0,33.33%,6,0,,Default,[JC1 Chemistry] Energetics - 17 Jun (Tue) | 10:00AM - 01:00PM | Paya Lebar
JC - JunCC<>Chemistry<>JC1<>Energetics<>Ryan Kong<>Potong Pasir<>PP-1 (L1)<>18<>17 Jun (Tue)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Ryan Kong,Potong Pasir,PP-1 (L1),18,17 Jun (Tue),10:00:00 AM,6/17/2025,10:00AM - 01:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Potong Pasir - 17 Jun (Tue) 10AM,[JC1 Chemistry] Energetics - 17 Jun (Tue) | 10:00AM - 01:00PM | Potong Pasir,[Waitlist] [JC1 Chemistry] Energetics - 17 Jun (Tue) | 10:00AM - 01:00PM | Potong Pasir,,0,,,2,0,2,2,2 | 2 | 18 | 0,11.11%,2,0,,Default,[JC1 Chemistry] Energetics - 17 Jun (Tue) | 10:00AM - 01:00PM | Potong Pasir
JC - JunCC<>Chemistry<>JC1<>Energetics<>Kelly<>Jurong East (CPF Building)<>JE-2<>25<>17 Jun (Tue)<>1:30 PM,JC - JunCC,Chemistry,JC1,Energetics,Kelly,Jurong East (CPF Building),JE-2,25,17 Jun (Tue),1:30:00 PM,6/17/2025,01:30PM - 04:30PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Jurong East (CPF Building) - 17 Jun (Tue) 1PM,[JC1 Chemistry] Energetics - 17 Jun (Tue) | 01:30PM - 04:30PM | Jurong East (CPF Building),[Waitlist] [JC1 Chemistry] Energetics - 17 Jun (Tue) | 01:30PM - 04:30PM | Jurong East (CPF Building),,0,,,1,0,1,1,1 | 1 | 25 | 0,4.00%,1,0,,Default,[JC1 Chemistry] Energetics - 17 Jun (Tue) | 01:30PM - 04:30PM | Jurong East (CPF Building)
JC - JunCC<>Chemistry<>JC1<>Energetics<>Zoey<>Tampines<>TP-5<>25<>17 Jun (Tue)<>1:30 PM,JC - JunCC,Chemistry,JC1,Energetics,Zoey,Tampines,TP-5,25,17 Jun (Tue),1:30:00 PM,6/17/2025,01:30PM - 04:30PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Tampines - 17 Jun (Tue) 1PM,[JC1 Chemistry] Energetics - 17 Jun (Tue) | 01:30PM - 04:30PM | Tampines,[Waitlist] [JC1 Chemistry] Energetics - 17 Jun (Tue) | 01:30PM - 04:30PM | Tampines,,0,,,4,0,4,2,4 | 2 | 25 | 0,8.00%,2,0,,Default,[JC1 Chemistry] Energetics - 17 Jun (Tue) | 01:30PM - 04:30PM | Tampines
JC - JunCC<>Chemistry<>JC1<>Energetics<>Xavier Tan<>Tan Kah Kee<>TKK-2<>30<>18 Jun (Wed)<>10:00 AM,JC - JunCC,Chemistry,JC1,Energetics,Xavier Tan,Tan Kah Kee,TKK-2,30,18 Jun (Wed),10:00:00 AM,6/18/2025,10:00AM - 01:00PM,bit.ly/zenithTKK,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",CHEM,CHEM,J1,CC Type,Chemistry,Chemistry - Tan Kah Kee - 18 Jun (Wed) 10AM,[JC1 Chemistry] Energetics - 18 Jun (Wed) | 10:00AM - 01:00PM | Tan Kah Kee,[Waitlist] [JC1 Chemistry] Energetics - 18 Jun (Wed) | 10:00AM - 01:00PM | Tan Kah Kee,,0,,,0,0,0,0,0 | 0 | 30 | 0,0.00%,0,0,,Default,[JC1 Chemistry] Energetics - 18 Jun (Wed) | 10:00AM - 01:00PM | Tan Kah Kee
